Tournament,Seed,TeamID
M,W01,1163
M,W02,1235
M,W03,1228
M,W04,1120
M,W05,1361
M,W06,1140
M,W07,1450
M,W08,1194
M,W09,1321
M,W10,1179
M,W11,1182
M,W12,1412
M,W13,1463
M,W14,1287
M,W15,1355
M,W16,1391
M,X01,1314
M,X02,1112
M,X03,1124
M,X04,1104
M,X05,1388
M,X06,1155
M,X07,1173
M,X08,1280
M,X09,1277
M,X10,1305
M,X11,1307
M,X12,1213
M,X13,1158
M,X14,1159
M,X15,1253
M,X16,1224
M,Y01,1345
M,Y02,1397
M,Y03,1166
M,Y04,1242
M,Y05,1211
M,Y06,1376
M,Y07,1400
M,Y08,1429
M,Y09,1395
M,Y10,1161
M,Y11,1332
M,Y12,1270
M,Y13,1359
M,Y14,1103
M,Y15,1389
M,Y16,1212
M,Z01,1222
M,Z02,1266
M,Z03,1246
M,Z04,1181
M,Z05,1458
M,Z06,1403
M,Z07,1196
M,Z08,1304
M,Z09,1401
M,Z10,1129
M,Z11,1301
M,Z12,1241
M,Z13,1436
M,Z14,1324
M,Z15,1443
M,Z16,1255
W,W01,3376
W,W02,3323
W,W03,3333
W,W04,3231
W,W05,3328
W,W06,3304
W,W07,3279
W,W08,3314
W,W09,3277
W,W10,3266
W,W11,3401
W,W12,3195
W,W13,3193
W,W14,3186
W,W15,3245
W,W16,3342
W,X01,3400
W,X02,3390
W,X03,3301
W,X04,3211
W,X05,3428
W,X06,3397
W,X07,3235
W,X08,3104
W,X09,3199
W,X10,3268
W,X11,3453
W,X12,3355
W,X13,3414
W,X14,3151
W,X15,3313
W,X16,3180
W,Y01,3234
W,Y02,3417
W,Y03,3261
W,Y04,3243
W,Y05,3160
W,Y06,3257
W,Y07,3166
W,Y08,3452
W,Y09,3343
W,Y10,3424
W,Y11,3292
W,Y12,3179
W,Y13,3339
W,Y14,3349
W,Y15,3465
W,Y16,3221
W,Z01,3425
W,Z02,3326
W,Z03,3163
W,Z04,3439
W,Z05,3124
W,Z06,3393
W,Z07,3181
W,Z08,3242
W,Z09,3276
W,Z10,3350
W,Z11,3112
W,Z12,3162
W,Z13,3267
W,Z14,3238
W,Z15,3263
W,Z16,3394
