BPI RK,TEAM,CONF,W-L,OFF,DEF,BPI,Year,,,,,
1,Gonzaga Bulldogs,WCC,31-1,15,6.3,21.3,2021,,,,,
2,Baylor Bears,Big 12,28-2,13.9,6.8,20.7,2021,,,,,
3,Houston Cougars,American,28-4,9.9,8.4,18.3,2021,,,,,
4,Illinois Fighting Illini,Big Ten,24-7,9.7,8,17.6,2021,,,,,
5,Michigan Wolverines,Big Ten,23-5,9.7,7.7,17.4,2021,,,,,
6,Iowa Hawkeyes,Big Ten,22-9,14.3,2.7,17,2021,,,,,
7,Villanova Wildcats,Big East,18-7,10.9,4.2,15.1,2021,,,,,
8,Texas Tech Red Raiders,Big 12,18-11,6.5,7.9,14.4,2021,,,,,
9,Alabama Crimson Tide,SEC,26-7,5.8,8.6,14.4,2021,,,,,
10,USC Trojans,Pac-12,25-8,7,7.3,14.3,2021,,,,,
11,Ohio State Buckeyes,Big Ten,21-10,10.6,3.6,14.2,2021,,,,,
12,Virginia Cavaliers,ACC,18-7,8,5.8,13.9,2021,,,,,
13,Arkansas Razorbacks,SEC,25-7,6.4,7.1,13.5,2021,,,,,
14,Tennessee Volunteers,SEC,18-9,5,8.3,13.3,2021,,,,,
15,Loyola Chicago Ramblers,MVC,26-5,5.6,7.7,13.2,2021,,,,,
16,Wisconsin Badgers,Big Ten,18-13,6,7.2,13.2,2021,,,,,
17,Creighton Bluejays,Big East,22-9,8,5,13.1,2021,,,,,
18,Colorado Buffaloes,Pac-12,23-9,7.4,5.7,13.1,2021,,,,,
19,Florida State Seminoles,ACC,18-7,7,5.7,12.7,2021,,,,,
20,LSU Tigers,SEC,19-10,11.2,1.4,12.6,2021,,,,,
21,UConn Huskies,Big East,15-8,6.4,6.1,12.5,2021,,,,,
22,Texas Longhorns,Big 12,19-8,6.7,5.7,12.4,2021,,,,,
23,San Diego State Aztecs,Mountain West,23-5,5.3,6.9,12.2,2021,,,,,
24,West Virginia Mountaineers,Big 12,19-10,8.1,3.9,12,2021,,,,,
25,Kansas Jayhawks,Big 12,21-9,5.3,6.7,12,2021,,,,,
26,North Carolina Tar Heels,ACC,18-11,5.1,6.6,11.7,2021,,,,,
27,Purdue Boilermakers,Big Ten,18-10,6.2,5.4,11.6,2021,,,,,
28,UCLA Bruins,Pac-12,22-10,8.1,3.3,11.4,2021,,,,,
29,St. Bonaventure Bonnies,A-10,16-5,5.2,6.2,11.3,2021,,,,,
30,Oregon Ducks,Pac-12,21-7,8.2,3,11.2,2021,,,,,
31,Duke Blue Devils,ACC,13-11,7.7,3.4,11.1,2021,,,,,
32,BYU Cougars,WCC,20-7,6.6,4.5,11.1,2021,,,,,
33,Oklahoma Sooners,Big 12,16-11,6.4,4.6,11,2021,,,,,
34,Syracuse Orange,ACC,18-10,6.8,4.2,10.9,2021,,,,,
35,Memphis Tigers,American,20-8,1.6,9.2,10.8,2021,,,,,
36,Florida Gators,SEC,15-10,5.8,4.5,10.3,2021,,,,,
37,Oklahoma State Cowboys,Big 12,21-9,3.9,6.3,10.2,2021,,,,,
38,Georgia Tech Yellow Jackets,ACC,17-9,6.4,3.5,9.9,2021,,,,,
39,Maryland Terrapins,Big Ten,17-14,6,3.8,9.7,2021,,,,,
40,Arizona Wildcats,Pac-12,17-9,6.3,3.4,9.7,2021,,,,,
41,Rutgers Scarlet Knights,Big Ten,16-12,3.2,6.4,9.6,2021,,,,,
42,Virginia Tech Hokies,ACC,15-7,5.1,4.5,9.6,2021,,,,,
43,Clemson Tigers,ACC,16-8,2.3,7.3,9.5,2021,,,,,
44,Saint Louis Billikens,A-10,14-7,5.2,4.3,9.5,2021,,,,,
45,Penn State Nittany Lions,Big Ten,14-Nov,5.4,4,9.4,2021,,,,,
46,Ole Miss Rebels,SEC,16-12,1.9,7.3,9.2,2021,,,,,
47,NC State Wolfpack,ACC,14-11,5.5,3.5,9,2021,,,,,
48,Missouri Tigers,SEC,16-10,4.8,4.2,9,2021,,,,,
49,Indiana Hoosiers,Big Ten,15-Dec,4,4.8,8.9,2021,,,,,
50,Seton Hall Pirates,Big East,14-13,4.7,4.1,8.8,2021,,,,,
51,SMU Mustangs,American,6-Nov,5.2,3.5,8.7,2021,,,,,
52,Colgate Raiders,Patriot,14-2,6.9,1.6,8.5,2021,,,,,
53,Davidson Wildcats,A-10,13-9,7.9,0.6,8.5,2021,,,,,
54,Kentucky Wildcats,SEC,16-Sep,3.2,5.3,8.5,2021,,,,,
55,Utah State Aggies,Mountain West,20-9,1.7,6.7,8.5,2021,,,,,
56,Richmond Spiders,A-10,14-9,6,2.3,8.3,2021,,,,,
57,Boise State Broncos,Mountain West,19-9,4.2,4.1,8.3,2021,,,,,
58,Xavier Musketeers,Big East,13-8,4.7,3.6,8.3,2021,,,,,
59,VCU Rams,A-10,19-7,0.8,7.4,8.2,2021,,,,,
60,UC Santa Barbara Gauchos,Big West,22-5,5.2,2.9,8.1,2021,,,,,
61,Louisville Cardinals,ACC,13-7,3.9,4,7.9,2021,,,,,
62,Mississippi State Bulldogs,SEC,18-15,3.7,4.1,7.9,2021,,,,,
63,Oregon State Beavers,Pac-12,20-13,5.3,2.3,7.5,2021,,,,,
64,St. John's Red Storm,Big East,16-11,5.2,2.3,7.5,2021,,,,,
65,Wright State Raiders,Horizon,18-6,3.5,4,7.5,2021,,,,,
66,Drake Bulldogs,MVC,26-5,5.7,1.6,7.3,2021,,,,,
67,Auburn Tigers,SEC,13-14,4.8,2.4,7.3,2021,,,,,
68,Providence Friars,Big East,13-13,3.7,3.4,7.2,2021,,,,,
69,North Texas Mean Green,CUSA,18-10,3.6,3.5,7.2,2021,,,,,
70,Michigan State Spartans,Big Ten,15-13,3.1,4,7.1,2021,,,,,
71,Georgetown Hoyas,Big East,13-13,3.1,4,7.1,2021,,,,,
72,Utah Utes,Pac-12,13-Dec,4.9,2,6.9,2021,,,,,
73,Louisiana Tech Bulldogs,CUSA,24-8,1.7,4.9,6.7,2021,,,,,
74,Toledo Rockets,MAC,21-9,6.5,0.1,6.6,2021,,,,,
75,Minnesota Golden Gophers,Big Ten,14-15,2.6,3.9,6.5,2021,,,,,
76,Liberty Flames,ASUN,23-6,4.7,1.7,6.4,2021,,,,,
77,Grand Canyon Lopes,WAC,17-7,3.6,2.8,6.4,2021,,,,,
78,Northwestern Wildcats,Big Ten,15-Sep,2,4.2,6.2,2021,,,,,
79,Marquette Golden Eagles,Big East,13-14,3.2,3.1,6.2,2021,,,,,
80,Stanford Cardinal,Pac-12,14-13,1.2,5,6.2,2021,,,,,
81,Notre Dame Fighting Irish,ACC,15-Nov,7.1,-1.1,6.1,2021,,,,,
82,UAB Blazers,CUSA,22-7,0.9,5.1,6,2021,,,,,
83,Colorado State Rams,Mountain West,20-8,4,1.9,5.9,2021,,,,,
84,Marshall Thundering Herd,CUSA,15-7,4.3,1.6,5.9,2021,,,,,
