BPI RK,TEAM,CONF,W-L,OFF,DEF,BPI,Year,,,,,
1,Virginia Cavaliers,ACC,35-3,12.2,11,23.2,2019,,,,,
2,Gonzaga Bulldogs,WCC,33-4,14,9,23.1,2019,,,,,
3,Duke Blue Devils,ACC,32-6,10.9,10.4,21.3,2019,,,,,
4,Michigan State Spartans,Big Ten,32-7,10.7,9.1,19.8,2019,,,,,
5,North Carolina Tar Heels,ACC,29-7,10.7,8.2,18.9,2019,,,,,
6,Texas Tech Red Raiders,Big 12,31-7,6.2,12.6,18.8,2019,,,,,
7,Kentucky Wildcats,SEC,30-7,9.4,8.8,18.3,2019,,,,,
8,Michigan Wolverines,Big Ten,30-7,6.3,11.5,17.8,2019,,,,,
9,Purdue Boilermakers,Big Ten,26-10,11.8,5.6,17.4,2019,,,,,
10,Tennessee Volunteers,SEC,31-6,11.4,5.7,17.1,2019,,,,,
11,Virginia Tech Hokies,ACC,26-9,9.9,6.7,16.5,2019,,,,,
12,Auburn Tigers,SEC,30-10,10.5,5.9,16.4,2019,,,,,
13,Houston Cougars,American,33-4,7.7,8.1,15.9,2019,,,,,
14,Florida State Seminoles,ACC,29-8,5.9,8.7,14.6,2019,,,,,
15,Iowa State Cyclones,Big 12,23-12,9,5.5,14.5,2019,,,,,
16,Wofford Terriers,Southern,30-5,9.9,4.4,14.3,2019,,,,,
17,Wisconsin Badgers,Big Ten,23-11,5,9.4,14.3,2019,,,,,
18,Kansas Jayhawks,Big 12,26-10,6.9,7.3,14.2,2019,,,,,
19,Louisville Cardinals,ACC,20-14,6.8,6.6,13.4,2019,,,,,
20,Mississippi State Bulldogs,SEC,23-11,8.7,4.2,12.9,2019,,,,,
21,Nevada Wolf Pack,Mountain West,29-5,7.1,5.7,12.9,2019,,,,,
22,Kansas State Wildcats,Big 12,25-9,2.8,9.9,12.7,2019,,,,,
23,LSU Tigers,SEC,28-7,8.5,4.2,12.7,2019,,,,,
24,Buffalo Bulls,MAC,32-4,7,5.6,12.6,2019,,,,,
25,Villanova Wildcats,Big East,26-10,8.5,4,12.5,2019,,,,,
26,Maryland Terrapins,Big Ten,23-11,6.1,5.9,12,2019,,,,,
27,Cincinnati Bearcats,American,28-7,5.2,6.7,11.8,2019,,,,,
28,Texas Longhorns,Big 12,21-16,5.8,6,11.8,2019,,,,,
29,NC State Wolfpack,ACC,24-12,7,4.6,11.7,2019,,,,,
30,Florida Gators,SEC,20-16,4.4,7.2,11.6,2019,,,,,
31,Oregon Ducks,Pac-12,25-13,3.7,7.8,11.6,2019,,,,,
32,Marquette Golden Eagles,Big East,24-10,5.7,5.8,11.5,2019,,,,,
33,Clemson Tigers,ACC,20-14,3,7.9,10.9,2019,,,,,
34,Oklahoma Sooners,Big 12,20-14,4,6.6,10.6,2019,,,,,
35,Syracuse Orange,ACC,20-14,3.8,6.7,10.5,2019,,,,,
36,UCF Knights,American,24-9,4.5,6,10.5,2019,,,,,
37,Iowa Hawkeyes,Big Ten,23-12,8.9,1.6,10.5,2019,,,,,
38,Saint Mary's Gaels,WCC,22-12,7.3,3.1,10.4,2019,,,,,
39,Baylor Bears,Big 12,20-14,6.7,3.6,10.3,2019,,,,,
40,Nebraska Cornhuskers,Big Ten,19-17,5.7,4.5,10.2,2019,,,,,
41,VCU Rams,A-10,25-8,0.1,9.9,10,2019,,,,,
42,Ohio State Buckeyes,Big Ten,20-15,3.5,6.3,9.8,2019,,,,,
43,TCU Horned Frogs,Big 12,23-14,4.2,5.3,9.5,2019,,,,,
44,Belmont Bruins,OVC,27-6,7.5,1.9,9.4,2019,,,,,
45,Indiana Hoosiers,Big Ten,19-16,3.1,5.9,9,2019,,,,,
46,Murray State Racers,OVC,28-5,5.8,3.2,9,2019,,,,,
47,Lipscomb Bisons,ASUN,29-8,4.9,4.1,8.9,2019,,,,,
48,Penn State Nittany Lions,Big Ten,14-18,2.3,6.6,8.9,2019,,,,,
49,Utah State Aggies,Mountain West,28-7,4.5,4.4,8.9,2019,,,,,
50,Creighton Bluejays,Big East,20-15,6.4,2.4,8.8,2019,,,,,
51,Ole Miss Rebels,SEC,20-13,5.2,3.5,8.7,2019,,,,,
52,Washington Huskies,Pac-12,27-9,2.3,6.4,8.7,2019,,,,,
53,Minnesota Golden Gophers,Big Ten,22-14,3.7,4.4,8.1,2019,,,,,
54,Dayton Flyers,A-10,21-12,5.4,2.7,8.1,2019,,,,,
55,Vermont Catamounts,Am. East,27-7,4.3,3.6,7.9,2019,,,,,
56,New Mexico State Aggies,WAC,30-5,5.3,2.6,7.9,2019,,,,,
57,Seton Hall Pirates,Big East,20-14,3.1,4.6,7.7,2019,,,,,
58,Liberty Flames,ASUN,29-7,4.2,3.3,7.5,2019,,,,,
59,Furman Paladins,Southern,25-8,3.5,4,7.5,2019,,,,,
60,Arizona State Sun Devils,Pac-12,23-11,3.5,4,7.4,2019,,,,,
61,Arkansas Razorbacks,SEC,18-16,3,4.4,7.4,2019,,,,,
62,San Francisco Dons,WCC,21-10,5,2.2,7.1,2019,,,,,
63,Toledo Rockets,MAC,25-8,3.8,3.2,7.1,2019,,,,,
64,Memphis Tigers,American,22-14,3.4,3.6,7.1,2019,,,,,
65,Xavier Musketeers,Big East,19-16,4.8,2.1,6.9,2019,,,,,
66,Butler Bulldogs,Big East,16-17,5,1.9,6.9,2019,,,,,
67,Alabama Crimson Tide,SEC,18-16,2.5,4.4,6.9,2019,,,,,
68,Fresno State Bulldogs,Mountain West,23-9,3.5,3.2,6.7,2019,,,,,
69,Temple Owls,American,23-10,3.7,2.9,6.6,2019,,,,,
70,Northwestern Wildcats,Big Ten,13-19,-0.1,6.6,6.6,2019,,,,,
71,East Tennessee State Buccaneers,Southern,24-10,3.8,2.7,6.5,2019,,,,,
72,Miami Hurricanes,ACC,14-18,4.4,2.2,6.5,2019,,,,,
73,Yale Bulldogs,Ivy,22-8,4.8,1.6,6.4,2019,,,,,
74,Hofstra Pride,CAA,27-8,8.6,-2.3,6.3,2019,,,,,
75,Providence Friars,Big East,18-16,1.1,5.1,6.3,2019,,,,,
76,St. John's Red Storm,Big East,21-13,4,2.3,6.2,2019,,,,,
77,Wichita State Shockers,American,22-15,1.7,4.3,6,2019,,,,,
78,South Carolina Gamecocks,SEC,16-16,1.7,4.3,6,2019,,,,,
79,Davidson Wildcats,A-10,24-10,3.1,2.7,5.8,2019,,,,,
80,UNC Greensboro Spartans,Southern,29-7,2,3.7,5.7,2019,,,,,
81,Colorado Buffaloes,Pac-12,23-13,1.2,4.5,5.7,2019,,,,,
82,South Dakota State Jackrabbits,Summit,24-9,6,-0.4,5.5,2019,,,,,
83,Missouri Tigers,SEC,15-17,1.7,3.8,5.5,2019,,,,,
84,USC Trojans,Pac-12,16-17,4.1,1.4,5.5,2019,,,,,
85,UC Irvine Anteaters,Big West,31-6,1.1,4.4,5.5,2019,,,,,
86,Rutgers Scarlet Knights,Big Ten,14-17,0.6,4.7,5.3,2019,,,,,
87,San Diego Toreros,WCC,21-15,1.9,3.3,5.2,2019,,,,,
88,Oregon State Beavers,Pac-12,18-13,4.7,0.5,5.2,2019,,,,,
89,West Virginia Mountaineers,Big 12,15-21,3.9,1.2,5,2019,,,,,
90,Northeastern Huskies,CAA,23-11,5.1,-0.1,5,2019,,,,,
91,Northern Kentucky Norse,Horizon,26-9,2.8,2.1,5,2019,,,,,
92,Arizona Wildcats,Pac-12,17-15,1.2,3.6,4.9,2019,,,,,
93,Illinois Fighting Illini,Big Ten,21-Dec,2.5,2.4,4.9,2019,,,,,
94,BYU Cougars,WCC,19-13,4.7,0.1,4.8,2019,,,,,
95,Notre Dame Fighting Irish,ACC,14-19,2.8,2,4.8,2019,,,,,
