BPI RK,TEAM,CONF,W-L,BPI,OFF,DEF,Year,,,,,
1,Houston Cougars,American,33-4,20.5,9.9,10.6,2023,,,,,
2,Alabama Crimson Tide,SEC,31-6,18.9,8.1,10.8,2023,,,,,
3,UConn Huskies,Big East,31-8,18.9,10.2,8.6,2023,,,,,
4,Tennessee Volunteers,SEC,25-11,18.3,5.7,12.5,2023,,,,,
5,UCLA Bruins,Pac-12,31-6,17.8,7.6,10.2,2023,,,,,
6,Texas Longhorns,Big 12,29-9,16.8,8.4,8.4,2023,,,,,
7,Purdue Boilermakers,Big Ten,29-6,15.4,9,6.5,2023,,,,,
8,Gonzaga Bulldogs,WCC,31-6,14.9,12.5,2.5,2023,,,,,
9,Kansas Jayhawks,Big 12,28-8,14.7,7,7.7,2023,,,,,
10,Creighton Bluejays,Big East,24-13,14.5,8.3,6.2,2023,,,,,
11,Arizona Wildcats,Pac-12,28-7,14.2,9.6,4.6,2023,,,,,
12,Baylor Bears,Big 12,23-11,13.8,10.6,3.2,2023,,,,,
13,Marquette Golden Eagles,Big East,29-7,13.6,8.8,4.8,2023,,,,,
14,Duke Blue Devils,ACC,27-9,13,6.1,6.8,2023,,,,,
15,San Diego State Aztecs,Mountain West,32-7,12.6,4.6,8,2023,,,,,
16,Arkansas Razorbacks,SEC,22-14,12.6,4.7,7.8,2023,,,,,
17,Kentucky Wildcats,SEC,22-12,12.5,8,4.6,2023,,,,,
18,Xavier Musketeers,Big East,27-10,12.5,8.8,3.6,2023,,,,,
19,Indiana Hoosiers,Big Ten,23-12,12.3,6.8,5.5,2023,,,,,
20,Saint Mary's Gaels,WCC,27-8,12.2,4.6,7.6,2023,,,,,
21,West Virginia Mountaineers,Big 12,19-15,12.1,8.2,3.9,2023,,,,,
22,Maryland Terrapins,Big Ten,22-13,12,6.1,5.9,2023,,,,,
23,Virginia Cavaliers,ACC,25-8,11.9,5,6.9,2023,,,,,
24,Rutgers Scarlet Knights,Big Ten,19-15,11.7,1.6,10.1,2023,,,,,
25,Texas A&M Aggies,SEC,25-10,11.7,6.1,5.5,2023,,,,,
26,Auburn Tigers,SEC,21-13,11.6,5.4,6.3,2023,,,,,
27,TCU Horned Frogs,Big 12,22-13,11.6,5,6.6,2023,,,,,
28,Iowa State Cyclones,Big 12,19-14,11.6,2.6,9,2023,,,,,
29,Memphis Tigers,American,26-9,11.5,5.9,5.6,2023,,,,,
30,Miami Hurricanes,ACC,29-8,11.5,9.7,1.8,2023,,,,,
31,Kansas State Wildcats,Big 12,26-10,11.4,5,6.5,2023,,,,,
32,Illinois Fighting Illini,Big Ten,20-13,11.1,4.3,6.8,2023,,,,,
33,Florida Atlantic Owls,CUSA,35-4,11,6.5,4.5,2023,,,,,
34,Michigan State Spartans,Big Ten,21-13,10.8,5.7,5.2,2023,,,,,
35,Iowa Hawkeyes,Big Ten,19-14,10.8,10.1,0.7,2023,,,,,
36,Ohio State Buckeyes,Big Ten,16-19,10.4,7.5,2.9,2023,,,,,
37,Northwestern Wildcats,Big Ten,22-12,10.4,3.2,7.2,2023,,,,,
38,Providence Friars,Big East,21-12,10.4,7.3,3.1,2023,,,,,
39,North Carolina Tar Heels,ACC,20-13,10.2,5.2,5,2023,,,,,
40,Penn State Nittany Lions,Big Ten,23-14,10.2,8.4,1.8,2023,,,,,
41,Liberty Flames,ASUN,27-9,10.1,5.4,4.7,2023,,,,,
42,Oklahoma State Cowboys,Big 12,20-16,10.1,1.3,8.9,2023,,,,,
43,Oregon Ducks,Pac-12,21-15,9.7,5.3,4.5,2023,,,,,
44,NC State Wolfpack,ACC,23-11,9.6,5.9,3.7,2023,,,,,
45,Utah State Aggies,Mountain West,26-9,9.4,6.8,2.6,2023,,,,,
46,Mississippi State Bulldogs,SEC,21-13,9.4,0.9,8.5,2023,,,,,
47,Cincinnati Bearcats,American,23-13,9.4,5.1,4.3,2023,,,,,
48,Boise State Broncos,Mountain West,24-10,9.2,3.7,5.5,2023,,,,,
49,Sam Houston Bearkats,WAC,26-8,9.2,2,7.2,2023,,,,,
50,UCF Knights,American,19-15,9.1,3.1,6,2023,,,,,
51,Yale Bulldogs,Ivy,21-9,9,4.1,4.9,2023,,,,,
52,Texas Tech Red Raiders,Big 12,16-16,8.9,4.2,4.7,2023,,,,,
53,North Texas Mean Green,CUSA,31-7,8.9,3.2,5.7,2023,,,,,
54,UAB Blazers,CUSA,29-10,8.8,4.8,4,2023,,,,,
55,Michigan Wolverines,Big Ten,18-16,8.8,4.8,4,2023,,,,,
56,Dayton Flyers,A-10,22-12,8.8,3.5,5.2,2023,,,,,
57,VCU Rams,A-10,27-8,8.7,1.1,7.7,2023,,,,,
58,Florida Gators,SEC,16-17,8.7,2.6,6.1,2023,,,,,
59,Iona Gaels,MAAC,27-8,8.7,4.9,3.8,2023,,,,,
60,Drake Bulldogs,MVC,27-8,8.6,3.5,5.1,2023,,,,,
61,USC Trojans,Pac-12,22-11,8.6,4.3,4.3,2023,,,,,
62,Oklahoma Sooners,Big 12,15-17,8.6,4.1,4.4,2023,,,,,
63,Clemson Tigers,ACC,23-11,8.5,4.5,4,2023,,,,,
64,Wisconsin Badgers,Big Ten,20-15,8.3,2.1,6.2,2023,,,,,
65,Pittsburgh Panthers,ACC,24-12,8.3,5.4,2.9,2023,,,,,
66,Missouri Tigers,SEC,25-10,8.2,8.2,0,2023,,,,,
67,Charleston Cougars,CAA,31-4,8.2,4,4.2,2023,,,,,
68,Villanova Wildcats,Big East,17-17,8.1,5.2,2.9,2023,,,,,
69,Virginia Tech Hokies,ACC,19-15,7.9,6.5,1.4,2023,,,,,
70,Seton Hall Pirates,Big East,17-16,7.8,0.8,7,2023,,,,,
71,Arizona State Sun Devils,Pac-12,23-13,7.7,1.7,6,2023,,,,,
72,Bradley Braves,MVC,25-10,7.1,2.7,4.4,2023,,,,,
73,Kent State Golden Flashes,MAC,28-7,7.1,1.6,5.5,2023,,,,,
74,Washington State Cougars,Pac-12,17-17,7.1,4.1,3,2023,,,,,
75,Nevada Wolf Pack,Mountain West,22-11,7,4,3,2023,,,,,
76,Utah Utes,Pac-12,17-15,6.7,1.1,5.6,2023,,,,,
77,St. John's Red Storm,Big East,18-15,6.5,2.7,3.8,2023,,,,,
78,Marshall Thundering Herd,Sun Belt,24-8,6.5,3.6,2.9,2023,,,,,
79,Wake Forest Demon Deacons,ACC,19-14,6.5,5.4,1.1,2023,,,,,
80,Hofstra Pride,CAA,25-10,6.5,4.1,2.4,2023,,,,,
81,Vanderbilt Commodores,SEC,22-15,6.5,5.5,1,2023,,,,,
82,Stanford Cardinal,Pac-12,14-19,6.4,5.4,1,2023,,,,,
83,Utah Valley Wolverines,WAC,28-9,6.4,1.5,4.9,2023,,,,,
84,Toledo Rockets,MAC,27-8,6.3,10.1,-3.8,2023,,,,,
85,James Madison Dukes,Sun Belt,22-11,6.3,2.6,3.6,2023,,,,,
86,Colorado Buffaloes,Pac-12,18-17,6.1,0.8,5.4,2023,,,,,
87,New Mexico Lobos,Mountain West,22-12,6,4.8,1.3,2023,,,,,
88,Oral Roberts Golden Eagles,Summit,30-5,5.7,5.4,0.3,2023,,,,,
89,Saint Louis Billikens,A-10,21-12,5.6,4.8,0.8,2023,,,,,
90,UNLV Rebels,Mountain West,19-13,5.2,2.5,2.7,2023,,,,,
91,Indiana State Sycamores,MVC,23-13,5,3.6,1.5,2023,,,,,
92,Furman Paladins,Southern,28-8,5,5.8,-0.8,2023,,,,,
93,Grand Canyon Lopes,WAC,24-12,5,4.4,0.6,2023,,,,,
94,BYU Cougars,WCC,19-15,5,1.7,3.2,2023,,,,,
95,Louisiana Ragin' Cajuns,Sun Belt,26-8,4.6,4.6,0,2023,,,,,
96,UMass Lowell River Hawks,Am. East,26-8,4.6,2.6,2,2023,,,,,
97,Princeton Tigers,Ivy,23-9,4.5,3,1.5,2023,,,,,
98,UC Irvine Anteaters,Big West,23-12,4.3,1.7,2.6,2023,,,,,
99,Colgate Raiders,Patriot,26-9,4.3,5.9,-1.6,2023,,,,,
100,Santa Clara Broncos,WCC,23-10,4.2,2.4,1.8,2023,,,,,
101,Vermont Catamounts,Am. East,23-11,4.2,4.1,0.1,2023,,,,,
102,Akron Zips,MAC,22-11,4.2,2.4,1.8,2023,,,,,
103,Syracuse Orange,ACC,17-15,4.1,3.1,0.9,2023,,,,,
104,Ole Miss Rebels,SEC,21-Dec,4,1,3,2023,,,,,
105,South Alabama Jaguars,Sun Belt,19-16,3.9,1.9,2,2023,,,,,
106,Tulane Green Wave,American,20-11,3.9,3.2,0.7,2023,,,,,
107,Nebraska Cornhuskers,Big Ten,16-16,3.7,0.8,2.9,2023,,,,,
108,UNC Greensboro Spartans,Southern,20-12,3.7,-0.8,4.5,2023,,,,,
109,Wichita State Shockers,American,17-15,3.6,0.7,3,2023,,,,,
110,Charlotte 49ers,CUSA,22-14,3.5,3,0.5,2023,,,,,
111,Montana State Bobcats,Big Sky,25-10,3.4,1.2,2.2,2023,,,,,
112,Southern Utah Thunderbirds,WAC,24-13,3.4,3.2,0.2,2023,,,,,
113,Washington Huskies,Pac-12,16-16,3.3,-0.3,3.6,2023,,,,,
114,Youngstown State Penguins,Horizon,24-10,3.2,5.5,-2.4,2023,,,,,
115,Temple Owls,American,16-16,3.1,1.2,1.9,2023,,,,,
116,Ohio Bobcats,MAC,19-14,3,4,-0.9,2023,,,,,
117,Towson Tigers,CAA,21-12,3,2.4,0.6,2023,,,,,
118,Southern Miss Golden Eagles,Sun Belt,25-8,3,0.6,2.4,2023,,,,,
119,Belmont Bruins,MVC,21-11,3,3.8,-0.9,2023,,,,,
120,San José State Spartans,Mountain West,21-14,2.9,2.4,0.5,2023,,,,,
121,Eastern Washington Eagles,Big Sky,23-11,2.9,4.2,-1.3,2023,,,,,
122,Stephen F. Austin Lumberjacks,WAC,19-13,2.9,0.5,2.3,2023,,,,,
123,Butler Bulldogs,Big East,14-18,2.8,-1,3.9,2023,,,,,
