Rank,Player,High School,Position,Height / Weight,Rating,Team,Year
1,Anthony Davis,"Anthony DavisPerspectives Charter (Chicago, IL)",PF,6-10 / 220,100,Kentucky,2011
2,Michael Kidd-Gilchrist,"Michael Kidd-GilchristSt. Patrick (Elizabeth, NJ)",SF,6-6 / 190,100,Kentucky,2011
3,Austin Rivers,"Austin RiversWinter Park (Winter Park, FL)",PG,6-3 / 175,100,Duke,2011
4,Bradley Beal,"Bradley BealChaminade (Saint Louis, MO)",SG,6-4 / 195,100,Florida,2011
5,Quincy Miller,"Quincy MillerWestchester Country Day School (High Point, NC)",PF,6-8 / 193,100,Baylor,2011
6,Marquis Teague,"Marquis TeaguePike (Indianapolis, IN)",PG,6-2 / 170,99,Kentucky,2011
7,Adonis Thomas,"Adonis ThomasMelrose (Memphis, TN)",SF,6-6 / 205,99,Memphis,2011
8,James Michael McAdoo,"James Michael McAdooNorfolk Christian  (Norfolk, VA)",PF,6-8 / 205,99,North Carolina,2011
9,LeBryan Nash,"LeBryan NashLincoln (Dallas, TX)",SF,6-7 / 230,99,Oklahoma State,2011
10,Kentavious Caldwell-Pope,"Kentavious Caldwell-PopeGreenville (Greenville, GA)",SG,6-6 / 187,99,Georgia,2011
11,Cody Zeller,"Cody ZellerWashington (Washington, IN)",PF,6-11 / 215,99,Indiana,2011
12,P.J. Hairston,"P.J. HairstonHargrave Military Academy (HS) (Chatham, VA)",SG,6-4 / 230,99,North Carolina,2011
13,Josiah Turner,"Josiah TurnerMet Sacramento Charter (Sacramento, CA)",PG,6-3 / 175,99,Arizona,2011
14,Myck Kabongo,"Myck KabongoFindlay Prep (Henderson, NV)",PG,6-2 / 160,99,Texas,2011
15,Jabari Brown,"Jabari BrownOakland (Oakland, CA)",SG,6-4 / 205,99,Oregon,2011
16,DeAndre Daniels,"DeAndre DanielsIMG Academy (Bradenton, FL)",SF,6-8 / 180,98,Connecticut,2011
17,Chane Behanan,"Chane BehananBowling Green (Bowling Green, KY)",PF,6-6 / 250,98,Louisville,2011
18,Dorian Finney-Smith,"Dorian Finney-SmithI.C. Norcom (Portsmouth, VA)",SF,6-7 / 189,98,Virginia Tech,2011
19,Michael Carter-Williams,"Michael Carter-WilliamsHamilton-wenham Reg (South Hamilton, MA)",SG,6-4 / 175,98,Syracuse,2011
20,Branden Dawson,"Branden DawsonLew Wallace (Gary, IN)",SF,6-6 / 200,98,Michigan State,2011
21,Kyle Wiltjer,"Kyle WiltjerJesuit (Portland, OR)",PF,6-9 / 225,98,Kentucky,2011
22,Rakeem Christmas,"Rakeem ChristmasAcademy Of The New Church Boys School (Bryn Mawr, PA)",C,6-8 / 200,98,Syracuse,2011
23,B.J. Young,"B.J. YoungMcCluer North (Florissant, MO)",SG,6-3 / 170,98,Arkansas,2011
24,Michael Gbinije,"Michael GbinijeBenedictine (Richmond, VA)",SF,6-6 / 194,98,Duke,2011
25,Khem Birch,"Khem BirchNotre Dame Academy (Worcester, MA)",PF,6-8 / 210,98,UNLV,2011
26,Nick Johnson,"Nick JohnsonFindlay Prep (Henderson, NV)",SG,6-2 / 175,97,Arizona,2011
27,Jahii Carson,"Jahii CarsonMesa (Mesa, AZ)",PG,5-10 / 170,97,Arizona State,2011
28,D'Angelo Harrison,"D'Angelo HarrisonDulles (Sugar Land, TX)",SG,6-3 / 186,97,St. John's,2011
29,Shannon Scott,"Shannon ScottNorcross (Norcross, GA)",PG,6-2 / 175,97,Ohio State,2011
30,Wayne Blackshear,"Wayne BlackshearMorgan Park (Chicago, IL)",SG,6-5 / 215,97,Louisville,2011
31,Tony Wroten,"Tony WrotenGarfield (Seattle, WA)",SG,6-4 / 195,97,Washington,2011
32,Quinn Cook,"Quinn CookOak Hill Academy (Mouth Of Wilson, VA)",PG,6-1 / 180,97,Duke,2011
33,Otto Porter,"Otto PorterScott Co. Central (Sikeston, MO)",PF,6-8 / 190,97,Georgetown,2011
34,Malcolm Gilbert,"Malcolm GilbertAcademy Of The New Church Boys School (Bryn Mawr, PA)",C,6-11 / 230,97,Pittsburgh,2011
35,Ben McLemore,"Ben McLemoreEskridge (Saint Louis, MO)",SG,6-5 / 185,97,Kansas,2011
36,Sir'Dominic Pointer,"Sir'Dominic PointerWinston-Salem Prep (Winston Salem, NC)",SG,6-5 / 200,96,St. John's,2011
37,Kevin Ware,"Kevin WareRockdale County (Conyers, GA)",SG,6-3 / 170,96,Louisville,2011
38,Norvel Pelle,"Norvel PelleCompton Dominguez (Compton, CA)",C,6-10 / 210,96,Iona,2011
39,Levi Randolph,"Levi RandolphBob Jones  (Madison, AL)",SG,6-5 / 190,96,Alabama,2011
40,Mike Shaw,"Mike ShawDe La Salle Institute (Chicago, IL)",SF,6-8 / 213,96,Illinois,2011
41,Sheldon McClellan,"Sheldon McClellanBellaire (Bellaire, TX)",SG,6-5 / 185,96,Texas,2011
42,Maurice Harkless,"Maurice HarklessSouth Kent School (South Kent, CT)",SF,6-6 / 180,96,St. John's,2011
43,Johnny O'Bryant,"Johnny O'BryantEast Side (Cleveland, MS)",PF,6-9 / 235,95,LSU,2011
44,Adjehi Baru,"Adjehi BaruSteward School (Richmond, VA)",C,6-9 / 225,95,College of Charleston,2011
45,Rodney Hood,"Rodney HoodMeridian (Meridian, MS)",SF,6-7 / 180,95,Mississippi State,2011
46,Sam Thompson,"Sam ThompsonWhitney Young (Chicago, IL)",SF,6-7 / 190,95,Ohio State,2011
47,Nick Faust,"Nick FaustBaltimore City College (Baltimore, MD)",SG,6-5 / 170,95,Maryland,2011
48,LaQuinton Ross,"LaQuinton RossLife Center Academy (Burlington, NJ)",SF,6-8 / 225,95,Ohio State,2011
49,Ryan Boatright,"Ryan BoatrightEast (Aurora, IL)",PG,5-10 / 150,95,Connecticut,2011
50,Derrick Gordon,"Derrick GordonSt. Patrick (Elizabeth, NJ)",SG,6-3 / 187,95,Western Kentucky,2011
51,Jamal Branch,"Jamal BranchAtascocita (Humble, TX)",SG,6-3 / 170,94,Texas A&M,2011
52,Trevor Lacey,"Trevor LaceySr Butler Sch (Huntsville, AL)",PG,6-3 / 190,94,Alabama,2011
53,Amir Williams,"Amir WilliamsDetroit Country Day (Franklin, MI)",C,6-9 / 220,94,Ohio State,2011
54,Norman Powell,"Norman PowellLincoln (San Diego, CA)",SG,6-3 / 175,94,UCLA,2011
55,Michael Chandler,"Michael ChandlerLawrence North (Indianapolis, IN)",C,6-10 / 220,94,UCF,2011
56,Chasson Randle,"Chasson RandleRock Island (Rock Island, IL)",SG,6-1 / 180,94,Stanford,2011
57,Julien Lewis,"Julien LewisLa Marque (La Marque, TX)",SG,6-3 / 185,94,Texas,2011
58,Mycheal Henry,"Mycheal HenryAasta - Orr (Chicago, IL)",SF,6-5 / 190,94,Illinois,2011
59,Zach Price,"Zach PriceSt. Edward (Lakewood, OH)",C,6-11 / 235,93,Louisville,2011
60,Tracy Abrams,"Tracy AbramsMount Carmel (Chicago, IL)",PG,6-1 / 175,93,Illinois,2011
61,Amir Garrett,"Amir GarrettFindlay Prep (Henderson, NV)",SG,6-5 / 175,93,St. John's,2011
62,Juan Anderson,"Juan AndersonCastro Valley (Castro Valley, CA)",SF,6-6 / 200,93,Marquette,2011
63,Chris Jones,"Chris JonesMelrose (Memphis, TN)",PG,5-10 / 180,93,Tennessee,2011
64,Dez Wells,"Dez WellsHargrave Military Academy (HS) (Raleigh, NC)",SG,6-4 / 220,93,Xavier,2011
65,Tyler Adams,"Tyler AdamsBrandon (Brandon, MS)",C,6-8 / 260,93,Georgetown,2011
66,Julian Royal,"Julian RoyalMilton (Alpharetta, GA)",PF,6-8 / 225,93,Georgia Tech,2011
67,Angelo Chol,"Angelo CholHoover (San Diego, CA)",PF,6-8 / 200,93,Arizona,2011
68,Tyrone Johnson,"Tyrone JohnsonMontrose Christian School (Rockville, MD)",PG,6-3 / 185,93,Villanova,2011
69,Dai-Jon Parker,"Dai-Jon ParkerMilton (Alpharetta, GA)",SG,6-3 / 170,92,Vanderbilt,2011
70,Antwan Space,"Antwan SpaceDeSoto (DeSoto, TX)",SF,6-7 / 203,92,Florida State,2011
71,Cezar Guerrero,"Cezar GuerreroSt. John Bosco (Bellflower, CA)",PG,6-0 / 175,92,Oklahoma State,2011
72,Jonathan Holmes,"Jonathan HolmesAntonian College Prep (San Antonio, TX)",PF,6-8 / 232,92,Texas,2011
73,DeVille Smith,"DeVille SmithCallaway (Jackson, MS)",PG,5-10 / 160,92,Mississippi State,2011
74,Joseph Uchebo,"Joseph UcheboWord Of God Christian Academy (Raleigh, NC)",C,6-11 / 260,92,,2011
75,Marshall Plumlee,"Marshall PlumleeChrist School (Arden, NC)",C,6-11 / 215,92,Duke,2011
76,Marquis Rankin,"Marquis RankinJulius L. Chambers (Charlotte, NC)",PG,6-1 / 160,92,Virginia Tech,2011
