Year,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2011,1,Jimmer Fredette,BYU,37,35.8,28.9,9.4,20.7,.452,3.4,8.5,.396,6.8,7.6,.894,0.6,2.8,3.4,4.3,1.3,0.0,3.5,1.3
2011,2,MarShon Brooks,PROV,32,36.5,24.6,8.6,17.8,.483,2.1,6.2,.340,5.3,6.8,.772,2.3,4.8,7.0,2.5,1.5,1.2,3.1,2.5
2011,3,Adrian Oliver,SJSU,31,35.0,24.0,7.9,18.4,.432,2.3,5.5,.409,5.8,7.1,.823,1.3,4.1,5.3,2.5,0.7,0.4,3.1,2.7
2011,4,Andrew Goudelock,C of C,37,35.2,23.7,8.6,18.9,.455,3.5,8.7,.407,3.0,3.6,.821,0.7,3.2,3.9,4.2,0.9,0.2,3.2,1.8
2011,5,Kemba Walker,UConn,41,37.6,23.5,7.7,18.0,.428,1.8,5.5,.330,6.3,7.7,.819,1.3,4.1,5.4,4.5,1.9,0.2,2.3,1.4
2011,6,Andrew Gonzalez,HCU,30,37.0,22.9,6.8,16.4,.415,1.9,5.0,.389,7.3,9.0,.815,1.6,4.0,5.5,2.2,1.6,0.5,3.5,2.3
2011,7,Charles Jenkins,HOF,33,37.3,22.6,7.5,14.6,.517,2.0,4.8,.420,5.5,6.7,.824,0.5,2.8,3.4,4.8,1.7,0.7,2.2,2.0
2011,8,Xavier Silas,NIU,26,32.0,22.3,6.8,14.9,.459,2.0,4.8,.413,6.6,7.7,.851,0.8,3.8,4.6,1.8,1.2,0.3,4.0,2.7
2011,9,Anatoly Bose,NICH,28,34.1,22.1,6.4,16.1,.394,2.4,7.4,.325,7.0,8.8,.793,1.2,4.6,5.9,2.2,1.4,0.2,3.4,2.4
2011,10,C.J. McCollum,LEHI,31,34.6,21.8,6.9,17.3,.399,1.7,5.3,.315,6.4,7.5,.845,1.9,5.9,7.8,2.1,2.5,0.7,2.8,1.7
