Rank,Player,High School,Position,Height / Weight,Rating,Committed School Logo URL
1,Ben Simmons,N/A,SF,6-8 / 220,100,N/A
2,Skal Labissiere,N/A,C,6-10 / 200,100,N/A
3,Brandon Ingram,N/A,SF,6-9 / 195,100,N/A
4,Cheick Diallo,N/A,PF,6-9 / 218,100,N/A
5,Jaylen Brown,N/A,SF,6-7 / 217,100,N/A
6,Allonzo Trier,N/A,SG,6-4 / 185,100,N/A
7,Malik Newman,N/A,PG,6-3 / 174,100,N/A
8,Diamond Stone,N/A,C,6-10 / 246,100,N/A
9,Dwayne Bacon,N/A,SG,6-6 / 190,99,N/A
10,Jamal Murray,N/A,SG,6-5 / 180,99,N/A
11,Ivan Rabb,N/A,PF,6-10 / 210,99,N/A
12,Ray Smith,N/A,SF,6-7 / 185,99,N/A
13,Thomas Bryant,N/A,PF,6-10 / 225,99,N/A
14,Antonio Blakeney,N/A,SG,6-4 / 170,99,N/A
15,Stephen Zimmerman,N/A,C,6-11 / 214,99,N/A
16,Isaiah Briscoe,N/A,PG,6-3.5 / 200,99,N/A
17,DJ Hogg,N/A,PF,6-8 / 217,99,N/A
18,Derryck Thornton,N/A,PG,6-2 / 182,99,N/A
19,Jawun Evans,N/A,PG,6-0 / 165,99,N/A
20,Chase Jeter,N/A,PF,6-10 / 239,99,N/A
21,Georgios Papagiannis,N/A,C,7-1 / 235,99,N/A
22-1,Luke Kennard,N/A,SG,6-5 / 180,98,N/A
23-1,PJ Dozier,N/A,SG,6-6 / 180,98,N/A
24-1,Henry Ellenson,N/A,PF,6-10 / 230,98,N/A
25-1,Tyler Dorsey,N/A,PG,6-4 / 180,98,N/A
26-1,Carlton Bragg,N/A,PF,6-8 / 205,98,N/A
27-1,Ray Spalding,N/A,PF,6-9 / 200,98,N/A
28-1,Mamadi Diakite,N/A,PF,6-9 / 180,98,N/A
29-1,Malik Beasley,N/A,SG,6-4 / 185,98,N/A
30-1,Lagerald Vick,N/A,SG,6-5 / 180,98,N/A
31-1,Jalen Brunson,N/A,PG,6-1.5 / 190,98,N/A
32-1,Jalen Adams,N/A,PG,6-2 / 170,98,N/A
33-1,Caleb Swanigan,N/A,C,6-8 / 265,98,N/A
34-1,Derrick Jones,N/A,SF,6-6 / 180,97,N/A
35-1,Deyonta Davis,N/A,PF,6-8 / 205,97,N/A
36-1,Jalen Coleman-Lands,N/A,PG,6-3 / 160,97,N/A
37-1,Donovan Mitchell,N/A,SG,6-3 / 180,97,N/A
38-1,Aaron Holiday,N/A,PG,6-1 / 175,97,N/A
39-1,Dedric Lawson,N/A,PF,6-8 / 195,97,N/A
40-1,Deng Adel,N/A,SF,6-7 / 185,97,N/A
41-1,Chimezie Metu,N/A,PF,6-8 / 215,97,N/A
42-1,Chance Comanche,N/A,C,6-9 / 185,97,N/A
43-1,Daniel Giddens,N/A,C,6-10 / 235,97,N/A
44-1,Jessie Govan,N/A,C,6-10 / 250,97,N/A
45-1,Tyler Davis,N/A,C,6-9 / 269,97,N/A
46-1,Chris Clarke,N/A,SG,6-5 / 170,97,N/A
47-1,Moritz Wagner,N/A,PF,6-9 / 210,97,N/A
48-1,Steven Enoch,N/A,PF,6-9 / 235,97,N/A
49-1,Kevarrius Hayes,N/A,C,6-9 / 205,97,N/A
50-1,Horace Spencer,N/A,PF,6-8 / 215,97,N/A
51-1,Malachi Richardson,N/A,SF,6-5.5 / 191,97,N/A
52-1,Justin Simon,N/A,PG,6-4 / 190,97,N/A
53-1,Kerwin Roach II,N/A,SG,6-3 / 160,96,N/A
54-1,Tevin Mack,N/A,SF,6-6 / 185,96,N/A
55-1,Jaquan Lyle,N/A,SG,6-5 / 220,96,N/A
56,K.J. Lawson,N/A,SF,6-6 / 185,96,N/A
57-2,Eric Davis,N/A,SG,6-3 / 172,96,N/A
58-1,Bennie Boatwright,N/A,SF,6-9 / 215,96,N/A
59-1,Matthew McQuaid,N/A,SG,6-5 / 175,96,N/A
60-1,Tai Wynyard,N/A,PF,6-10 / 263,96,N/A
61-1,Prince Ali,N/A,SG,6-4 / 190,96,N/A
62-1,Doral Moore,N/A,C,7-0 / 220,96,N/A
63-1,Isaac Humphries,N/A,C,7-0 / 245,95,N/A
64-1,KeVaughn Allen,N/A,SG,6-3 / 190,95,N/A
65-1,Maverick Rowan,N/A,SF,6-7 / 200,95,N/A
66-1,Danjel Purifoy,N/A,SF,6-6 / 190,95,N/A
67-1,Dejounte Murray,N/A,SG,6-4 / 180,95,N/A
68-1,Haanif Cheatham,N/A,SG,6-5 / 185,95,N/A
69-1,Austin Grandstaff,N/A,SG,6-4 / 180,95,N/A
70-1,King McClure,N/A,SG,6-3 / 205,95,N/A
71-1,Jimmy Whitt,N/A,SG,6-4 / 170,95,N/A
72-1,Justin Patton,N/A,PF,6-10 / 215,95,N/A
73-1,Moustapha Diagne,N/A,PF,6-9 / 240,95,N/A
74-1,Brevin Pritzl,N/A,SG,6-3 / 175,94,N/A
75-1,Charles Matthews,N/A,SG,6-6 / 172,94,N/A
76-1,Ebuka Izundu,N/A,PF,6-10 / 210,94,N/A
77-1,Marquese Chriss,N/A,PF,6-6 / 190,94,N/A
78-1,Juwan Morgan,N/A,PF,6-8 / 255,94,N/A
79-1,Shaun Kirk,N/A,SF,6-7 / 185,94,N/A
80-1,Elijah Thomas,N/A,C,6-9 / 240,94,N/A
81-1,Esa Ahmad,N/A,PF,6-7 / 218,94,N/A
82-1,Brandon Sampson,N/A,SG,6-4 / 180,94,N/A
83-1,Mickey Mitchell,N/A,SF,6-7 / 210,94,N/A
84-1,Stephen Thompson Jr.,N/A,SG,6-3 / 165,94,N/A
85-1,Nolan Narain,N/A,PF,6-9 / 210,94,N/A
86-1,Glynn Watson,N/A,PG,6-0 / 160,94,N/A
87-1,Tres Tinkle,N/A,SF,6-6 / 180,94,N/A
88-1,Kassoum Yakwe,N/A,PF,6-8 / 205,94,N/A
89-1,Kerry Blackshear Jr.,N/A,PF,6-8 / 220,94,N/A
90-1,Noah Dickerson,N/A,PF,6-8 / 245,94,N/A
91-1,Chris Silva,N/A,PF,6-9 / 210,94,N/A
92-1,Admon Gilder,N/A,SG,6-2 / 180,94,N/A
93-1,Shake Milton,N/A,SG,6-4 / 185,93,N/A
94-1,Kobie Eubanks,N/A,SF,6-5 / 212,93,N/A
95-1,Tulio Da Silva,N/A,PF,6-8 / 200,93,N/A
96-1,D.J. Williams,N/A,SF,6-6 / 195,93,N/A
97-1,Kendall Small,N/A,PG,6-1 / 160,93,N/A
98-1,Damon Wilson,N/A,SG,6-4 / 170,93,N/A
99-1,Tyler Lydon,N/A,PF,6-9 / 200,93,N/A
100-1,Malik Ellison,N/A,SG,6-6 / 192,93,N/A
101-1,Damontrae Jefferson,N/A,PG,5-7 / 150,93,N/A
102-1,Aaron Jordan,N/A,SG,6-4 / 170,93,N/A
103-1,Jeremy Hemsley,N/A,SG,6-4 / 175,93,N/A
104-1,Djery Baptiste,N/A,C,6-11 / 245,93,N/A
105-1,Nick Noskowiak,N/A,PG,6-2 / 180,93,N/A
106-1,Alex Owens,N/A,PF,6-8 / 220,93,N/A
107-1,Trevor Manuel,N/A,PF,6-9 / 215,93,N/A
108-1,Federico Mussini,N/A,PG,6-0 / 160,93,N/A
109-1,Kaiser Gates,N/A,SF,6-7 / 190,93,N/A
110-1,Donte DiVincenzo,N/A,SG,6-4 / 175,92,N/A
111-1,Frank Howard,N/A,SG,6-4 / 185,92,N/A
112-1,Bryant Crawford,N/A,PG,6-3 / 170,92,N/A
113-1,Cameron Walker,N/A,SF,6-6 / 195,92,N/A
114-1,Corey Sanders,N/A,PG,6-1 / 170,92,N/A
