Rank,Player,High School,Position,Height / Weight,Rating
1,Marvin Bagley,N/A,PF,6-10.5 / 221,100
2,Michael Porter,N/A,SF,6-10 / 213,100
3,Mohamed Bamba,N/A,PF,7-0 / 216,100
4,Collin Sexton,N/A,PG,6-2 / 182,100
5,Deandre Ayton,N/A,PF,7-0 / 250,100
6,Mitchell Robinson,N/A,C,7-0 / 222,100
7,Trevon Duval,N/A,PG,6-3 / 190,99
8,Jaren Jackson,N/A,PF,6-10 / 226,99
9,Jarred Vanderbilt,N/A,SF,6-9 / 213,99
10,Wendell Carter,N/A,PF,6-10 / 262,99
11,Hamidou Diallo,N/A,SG,6-5 / 195,99
12,Troy Brown,N/A,SF,6-7 / 210,99
13,Brian Bowen,N/A,SF,6-7 / 194,99
14,Lonnie Walker,N/A,SG,6-5 / 206,99
15,Nick Richards,N/A,C,7-0 / 239,98
16,Brandon McCoy,N/A,PF,6-11 / 244,98
17,Gary Trent Jr.,N/A,SG,6-5 / 213,98
18,Kevin Knox,N/A,SF,6-9 / 206,98
19,PJ Washington,N/A,PF,6-8 / 230,98
20,Shai Gilgeous-Alexander,N/A,CG,6-6 / 175,98
21,Jaylen Hands,N/A,PG,6-2 / 170,98
22,Billy Preston,N/A,PF,6-10 / 230,98
23,Kris Wilkes,N/A,SF,6-8 / 195,98
24,Nick Weatherspoon,N/A,PG,6-2 / 173,98
25,Ethan Thompson,N/A,SG,6-4 / 170,98
26,Jontay Porter,N/A,PF,6-10 / 225,98
27,Brandon Randolph,N/A,SG,6-6 / 183,98
28,Emmanuel Akot,N/A,SF,6-7 / 190,98
29,Charles O'Bannon Jr.,N/A,SG,6-5 / 190,98
30,Trae Young,N/A,PG,6-2 / 176,98
31,Malik Williams,N/A,C,7-0 / 200,98
32,Paul Scruggs,N/A,PG,6-4 / 200,98
33,Quade Green,N/A,PG,6-1 / 177,97
34,John Petty,N/A,SG,6-5 / 180,97
35,M.J. Walker,N/A,SG,6-5 / 205,97
36,Jericho Sims,N/A,PF,6-8 / 190,97
37,Nickeil Alexander-Walker,N/A,SG,6-5 / 175,97
38,Jalek Felton,N/A,CG,6-2 / 175,97
39,Chaundee Brown,N/A,SG,6-5 / 195,97
40,Jermaine Samuels,N/A,SF,6-6 / 190,97
41,Ira Lee,N/A,C,6-8 / 210,97
42,Jeremiah Tilmon,N/A,PF,6-10.5 / 258,97
43,Silvio De Sousa,N/A,PF,6-9 / 242,97
44,Makai Ashton-Langford,N/A,PG,6-1 / 180,96
45,Daniel Gafford,N/A,PF,6-9 / 217,96
46,Jordan Goodwin,N/A,SG,6-3 / 200,96
47,Lindell Wigginton,N/A,PG,6-1 / 175,96
48,Oscar da Silva,N/A,PF,6-10 / 225,96
49,Jordan Nwora,N/A,SF,6-8 / 220,96
50,DJ Harvey,N/A,SF,6-6 / 185,96
51,Marcus Garrett,N/A,CG,6-6 / 180,96
52,Oshae Brissett,N/A,SF,6-6 / 190,95
53,Savion Flagg,N/A,SF,6-6 / 190,95
54,Tremont Waters,N/A,PG,5-11 / 160,95
55,Jordan Tucker,N/A,SF,6-7 / 205,95
56,Nate Reuvers,N/A,PF,6-9 / 210,95
