Rank,Player,High School,Position,Height / Weight,Rating,Team
1,Ron Holland,"Ron HollandDuncanville (Duncanville, TX)",PF,6-8 / 195,99,Professional
2,Isaiah Collier,"Isaiah CollierWheeler (Marietta, GA)",PG,6-3 / 190,99,USC
3,Justin Edwards,"Justin EdwardsImhotep Institute (Philadelphia, PA)",SF,6-7 / 180,99,Kentucky
4,Cody Williams,"Cody WilliamsPerry (Gilbert, AZ)",SF,6-8 / 180,99,Colorado
5,Aaron Bradshaw,"Aaron BradshawCamden (Roselle, NJ)",C,7-0 / 210,99,Kentucky
6,DJ Wagner,"DJ WagnerCamden (Camden, NJ)",CG,6-3 / 165,99,Kentucky
7,Matas Buzelis,"Matas BuzelisSunrise Christian (Wichita, KS)",SF,6-9 / 190,99,Professional
8,Ja'Kobe Walter,"Ja'Kobe WalterLink Academy (McKinney, TX)",SG,6-5 / 180,98,Baylor
9,Stephon Castle,"Stephon CastleNewton (Covington, GA)",CG,6-6 / 205,98,Connecticut
10,Mackenzie Mgbako,"Mackenzie MgbakoRoselle Catholic (Gladstone, NJ)",PF,6-8 / 210,98,Indiana
11,Xavier Booker,"Xavier BookerCathedral (Indianapolis, IN)",C,6-10 / 205,98,Michigan State
12,Elliot Cadeau,"Elliot CadeauLink Academy (Branson, MO)",PG,6-1 / 165,98,North Carolina
13,Omaha Biliew,"Omaha BiliewWaukee (Waukee, IA)",PF,6-8 / 210,98,Iowa State
14,Jared McCain,"Jared McCainCentennial (Corona, CA)",CG,6-2 / 195,98,Duke
15,Aday Mara,"Aday MaraCasademont Zaragoza (Spain, SPAI)",C,7-3 / 245,98,UCLA
16,Aden Holloway,"Aden HollowayProlific Prep (Napa, CA)",PG,6-0 / 155,98,Auburn
17,TJ Power,"TJ PowerWorcester Academy (Shrewsbury, MA)",PF,6-9 / 215,98,Duke
18,Kwame Evans Jr.,"Kwame Evans Jr.Montverde Academy (Montverde, FL)",PF,6-9 / 200,97,Oregon
19,Andrej Stojakovic,"Andrej StojakovicJesuit (Carmichael, CA)",SF,6-6 / 185,97,Stanford
20,Elmarko Jackson,"Elmarko JacksonSouth Kent School (South Kent, CT)",PG,6-3 / 185,97,Kansas
21,Rob Dillingham,"Rob DillinghamOvertime Elite (Atlanta, GA)",PG,6-2 / 165,97,Kentucky
22,Sean Stewart,"Sean StewartMontverde Academy (Montverde, FL)",PF,6-8 / 230,97,Duke
23,Caleb Foster,"Caleb FosterNotre Dame (Sherman Oaks, CA)",CG,6-5 / 190,96,Duke
24,AJ Johnson,"AJ JohnsonSouthern California Academy (Castaic, CA)",CG,6-5 / 160,96,Professional
25,Dennis Evans,"Dennis EvansHillcrest (Riverside, CA)",C,7-1 / 210,96,Louisville
26,Jackson Shelstad,"Jackson ShelstadWest Linn (West Linn, OR)",PG,6-0 / 170,95,Oregon
27,DeShawn Harris-Smith,"DeShawn Harris-SmithPaul VI Catholic (Fairfax, VA)",SF,6-4 / 180,95,Maryland
28,Bronny James,"Bronny JamesSierra Canyon (Los Angeles, CA)",CG,6-3 / 190,95,USC
29,Baye Fall,"Baye FallAccelerated Schools (Denver, CO)",C,6-10 / 205,95,Arkansas
30,Dink Pate,"Dink PatePinkston (Dallas, TX)",SG,6-7 / 185,95,Professional
31,Trentyn Flowers,"Trentyn FlowersCombine Academy (Charlotte, NC)",SF,6-8 / 210,95,Louisville
32,Jeremy Fears,"Jeremy FearsJoliet West (Joliet, IL)",PG,6-0 / 180,95,Michigan State
33,Taison Chatman,"Taison ChatmanTotino-Grace (Minneapolis, MN)",CG,6-4 / 170,95,Ohio State
34,Dedan Thomas,"Dedan ThomasLiberty (Henderson, NV)",PG,6-1 / 170,95,UNLV
35,Johnny Furphy,"Johnny FurphyCentre of Excellence (Melbourne, VC)",SF,6-7 / 180,94,Kansas
36,Berke Buyuktuncel,"Berke BuyuktuncelTurkey (Turkey, TURK)",PF,6-9 / 215,94,UCLA
37,Milan Momcilovic,"Milan MomcilovicPewaukee (Pewaukee, WI)",PF,6-8 / 205,94,Iowa State
38,Eric Dailey,"Eric DaileyIMG Academy (Bradenton, FL)",PF,6-7 / 215,94,Oklahoma State
39,Mikey Williams,"Mikey WilliamsSan Ysidro (San Diego, CA)",CG,6-2 / 190,94,Memphis
40,Mookie Cook,"Mookie CookCompass Prep (Chandler, AZ)",SF,6-7 / 200,94,Oregon
41,Miro Little,"Miro LittleSunrise Christian (Wichita, KS)",PG,6-4 / 185,94,Baylor
42,Yves Missi,"Yves MissiProlific Prep (Napa, CA)",C,6-10 / 210,94,Baylor
43,Ilane Fibleuil,"Ilane FibleuilFrance (France, FRAN)",SG,6-6 / 180,94,UCLA
44,Solomon Ball,"Solomon BallBrewster Academy (Sharpsburg, MD)",SG,6-3 / 185,94,Connecticut
45,Brandon Garrison,"Brandon GarrisonDel City (Oklahoma City, OK)",C,6-9 / 205,94,Oklahoma State
46,Coen Carr,"Coen CarrLegacy Early College (Greenville, SC)",PF,6-7 / 200,94,Michigan State
47,Garwey Dual,"Garwey DualSouthern California Academy (Castaic, CA)",SG,6-5 / 175,94,Providence
48,Elijah Gertrude,"Elijah GertrudeHudson Catholic (Jersey City, NJ)",SG,6-3 / 180,94,Virginia
49,Simeon Wilcher,"Simeon WilcherRoselle Catholic (Roselle, NJ)",CG,6-4 / 185,94,St. John's
50,Jarin Stevenson,"Jarin StevensonSeaforth (Pittsboro, NC)",PF,6-10 / 200,94,Alabama
51,Marcus Adams Jr.,"Marcus Adams Jr.Narbonne (Harbor City, CA)",SF,6-8 / 200,94,Kansas
52,Devin Royal,"Devin RoyalPickerington Central (Pickerington, OH)",PF,6-7 / 210,94,Ohio State
53,Wesley Yates,"Wesley YatesBeaumont United (Beaumont, TX)",SG,6-4 / 200,94,Washington
54,Cameron Carr,"Cameron CarrLink Academy (Branson, MO)",SG,6-4 / 160,94,Tennessee
55,Carey Booth,"Carey BoothBrewster Academy (Wolfeboro, NH)",PF,6-10 / 203,94,Notre Dame
56,Jaylin Stewart,"Jaylin StewartGarfield (Seattle, WA)",SF,6-7 / 210,94,Connecticut
57,Arrinten Page,"Arrinten PageWheeler (Marietta, GA)",C,6-9 / 220,94,USC
58,Layden Blocker,"Layden BlockerSunrise Christian (Wichita, KS)",PG,6-2 / 175,94,Arkansas
59,Kanaan Carlyle,"Kanaan CarlyleOvertime Elite (Atlanta, GA)",SG,6-3 / 185,93,Stanford
60,Scotty Middleton,"Scotty MiddletonSunrise Christian (Wichita, KS)",SF,6-6 / 180,93,Ohio State
61,Amani Hansberry,"Amani HansberryMount Saint Joseph (Baltimore, MD)",PF,6-8 / 225,93,Illinois
62,Dusty Stromer,"Dusty StromerNotre Dame (Sherman Oaks, CA)",SF,6-6 / 180,93,Gonzaga
63,Myles Colvin,"Myles ColvinHeritage Christian School (Indianapolis, IN)",SF,6-5 / 200,93,Purdue
64,Rayvon Griffith,"Rayvon GriffithCompass Prep (Chandler, AZ)",SF,6-5 / 180,93,Cincinnati
65,Kaden Cooper,"Kaden CooperThe Skill Factory (Ada, OK)",SF,6-5 / 180,93,Oklahoma
66,Sebastian Mack,"Sebastian MackCoronado (Henderson, NV)",SG,6-4 / 180,93,UCLA
67,Gavin Griffiths,"Gavin GriffithsKingswood-Oxford School (West Hartford, CT)",SF,6-7 / 185,93,Rutgers
68,Jan Vide,"Jan VideSlovenia (Slovenia, SLOV)",CG,6-5 / 190,93,UCLA
69,Joseph Tugler,"Joseph TuglerCy Falls (Houston, TX)",C,6-7 / 215,92,Houston
70,Brandon Williams,"Brandon WilliamsChrist The King Regional (Middle Village, NY)",PF,6-7 / 205,92,UCLA
71,Nils Cooper,"Nils CooperCrossroads School (Santa Monica, CA)",SG,6-5 / 170,92,Pepperdine
72,Silas Demary Jr.,"Silas Demary Jr.Combine Academy (Charlotte, NC)",CG,6-4 / 180,92,Georgia
73,Trey Green,"Trey GreenProlific Prep (Napa, CA)",PG,5-10 / 155,92,Xavier
74,Papa Kante,"Papa KanteSouth Kent School (South Kent, CT)",C,6-10 / 215,92,Pittsburgh
75,Jamie Kaiser,"Jamie KaiserIMG Academy (Burke, VA)",SF,6-6 / 200,92,Maryland
76,J.P. Estrella,"J.P. EstrellaBrewster Academy (South Portland, ME)",C,6-11 / 210,92,Tennessee
77,Blue Cain,"Blue CainIMG Academy (Bradenton, FL)",SG,6-4 / 180,92,Georgia
78,Chris Johnson,"Chris JohnsonMontverde Academy (Missouri City, TX)",CG,6-4 / 180,92,Texas
79,Reed Sheppard,"Reed SheppardNorth Laurel (London, KY)",CG,6-3 / 170,92,Kentucky
80,Jizzle James,"Jizzle JamesOlympia (Orlando, FL)",PG,6-1 / 180,92,Cincinnati
81,Devin Williams,"Devin WilliamsCentennial (Corona, CA)",PF,6-10 / 205,92,UCLA
82,Blake Buchanan,"Blake BuchananLake City (Coeur D Alene, ID)",C,6-9 / 215,92,Virginia
83,Dai Dai Ames,"Dai Dai AmesKenwood Academy (Chicago, IL)",PG,6-1 / 160,92,Kansas State
84,Cameron Christie,"Cameron ChristieRolling Meadows (Rolling Meadows, IL)",SG,6-5 / 160,92,Minnesota
85,KJ Lewis,"KJ LewisDuncanville (Duncanville, TX)",SF,6-4 / 185,92,Arizona
86,Sam Walters,"Sam WaltersVillages Charter School (The Villages, FL)",PF,6-8 / 180,92,Alabama
87,Dylan James,"Dylan JamesWinter Haven (Winter Haven, FL)",PF,6-8 / 195,92,Georgia
88,Jamari McDowell,"Jamari McDowellManvel (Manvel, TX)",SG,6-4 / 180,92,Kansas
89,Jaland Lowe,"Jaland LoweFort Bend Marshall (Missouri City, TX)",PG,6-1 / 160,92,Pittsburgh
90,Rashaud Marshall,"Rashaud MarshallBlytheville (Blytheville, AR)",C,6-9 / 215,92,Ole Miss
91,Carlton Carrington,"Carlton CarringtonSt. Frances Academy (Baltimore, MD)",SG,6-4 / 175,91,Pittsburgh
92,Zayden High,"Zayden HighCompass Prep (Spring Branch, TX)",PF,6-9 / 225,91,North Carolina
93,Parker Friedrichsen,"Parker FriedrichsenBixby (Bixby, OK)",SG,6-3 / 165,91,Wake Forest
94,Jordan Ross,"Jordan RossCompass Prep (Chandler, AZ)",PG,6-1 / 150,91,Saint Mary's
95,Tre Norman,"Tre NormanWorcester Academy (Boston, MA)",CG,6-3 / 190,91,Marquette
96,Jace Posey,"Jace PoseyStrake Jesuit College Prep (Houston, TX)",SF,6-4 / 175,91,TCU
97,Corey Chest,"Corey ChestLink Academy (Branson, MO)",PF,6-8 / 180,91,LSU
98,RJ Jones,"RJ JonesWasatch Academy (Denton, TX)",SG,6-3 / 175,91,Kansas State
99,Pryce Sandfort,"Pryce SandfortNorthwest (Waukee, IA)",SF,6-7 / 190,91,Iowa
